Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
30/10/2014 13:31:56.415,0,12.5,-3276.8,15,0.12,0.16,4.178,96,35.000,65535.000,255,0.000800,0.000260,0,65535,0,65535,0,1,-1.04,-0.92,-0.18,-0.08,-0.33,-0.07,29.2,528,255,-128,-128,6553.5,414,416,493
30/10/2014 13:31:57.415,0,13.1,-3276.8,17,0.10,0.22,4.178,96,40.000,65535.000,255,0.000800,0.000400,0,65535,0,65535,0,2,-1.02,-0.89,-0.27,-0.13,-0.34,0.01,29.2,528,255,-128,-128,6553.5,412,413,493
30/10/2014 13:31:58.415,0,13.1,-3276.8,19,0.06,0.15,4.178,96,38.000,65535.000,255,0.000800,0.000480,0,65535,0,65535,3,0,-1.03,-0.87,-0.25,-0.14,-0.40,-0.20,29.2,528,255,-128,-128,6553.5,414,414,494
30/10/2014 13:31:59.415,0,13.5,-3276.8,21,0.05,0.13,4.178,96,40.000,65535.000,255,0.000800,0.000400,0,65535,0,65535,3,1,-0.98,-0.89,-0.18,-0.09,-0.45,-0.26,29.2,528,255,-128,-128,6553.5,413,414,493
30/10/2014 13:32:00.415,0,13.5,-3276.8,22,0.02,0.09,4.178,96,45.000,65535.000,255,0.000800,0.000300,0,65535,0,65535,3,2,-0.98,-0.87,-0.19,-0.12,-0.42,-0.28,29.2,528,255,-128,-128,6553.5,414,415,494
30/10/2014 13:32:01.415,0,13.7,-3276.8,22,0.01,0.03,4.178,96,48.000,65535.000,255,0.000800,0.000220,0,65535,0,65535,0,0,-0.96,-0.91,-0.18,-0.13,-0.37,-0.30,29.2,531,255,-128,-128,37.1,413,415,493
30/10/2014 13:32:02.415,0,13.7,-3276.8,22,0.01,0.04,4.178,96,47.000,65535.000,255,0.000800,0.000160,0,65535,0,65535,0,0,-0.97,-0.90,-0.20,-0.12,-0.37,-0.31,29.1,531,255,-128,-128,37.1,413,413,495
30/10/2014 13:32:03.415,0,13.5,-3276.8,22,0.01,0.03,4.178,96,43.000,65535.000,255,0.000800,0.000120,0,65535,0,65535,0,0,-0.97,-0.91,-0.18,-0.12,-0.37,-0.30,29.1,531,255,-128,-128,37.1,413,414,493
30/10/2014 13:32:04.415,0,13.5,-3276.8,22,0.01,0.03,4.178,96,39.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.96,-0.90,-0.18,-0.12,-0.36,-0.31,29.1,531,255,-128,-128,37.1,411,409,482
30/10/2014 13:32:05.415,0,13.7,-3276.8,22,0.01,0.03,4.178,96,38.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.97,-0.90,-0.18,-0.13,-0.37,-0.31,29.1,531,255,-128,-128,37.1,413,415,494
30/10/2014 13:32:06.415,0,13.7,-3276.8,22,0.01,0.03,4.178,96,36.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.96,-0.90,-0.18,-0.13,-0.36,-0.32,29.1,531,255,-128,-128,37.1,413,414,493
30/10/2014 13:32:07.415,0,13.5,-3276.8,22,0.01,0.03,4.177,96,33.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.97,-0.91,-0.20,-0.12,-0.37,-0.31,29.1,531,255,-128,-128,37.1,423,422,503
30/10/2014 13:32:08.415,0,13.5,-3276.8,22,0.01,0.03,4.177,96,30.000,65535.000,255,0.000800,0.000080,0,65535,0,65535,0,0,-0.98,-0.91,-0.18,-0.13,-0.37,-0.31,29.1,531,255,-128,-128,37.1,414,415,494
